User Agent,Ads Requested
Echo/1.0(APNG),27228200
AHC/2.1,11613645
Podcasts/1640.21.7 CFNetwork/1331.0.7 Darwin/21.4.0,3642778
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36",3242810
AppleCoreMedia/1.0.0.19E258 (iPhone; U; CPU OS 15_4_1 like Mac OS X; en_gb),3109469
Go-http-client/1.1,2748031
"Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.225 Safari/537.36 CrKey/1.56.500000 DeviceType/SmartSpeaker",2089018
"Mozilla/5.0 (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.188 Safari/537.36 CrKey/1.54.279716",1779195
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",1482889
LBC/92 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X),1288664
Lavf/57.25.100,949091
Radio X/92 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X),843369
NSPlayer/8.0.0.3801,828416
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",680293
LBC/1646916372 CFNetwork/1331.0.7 Darwin/21.4.0,655871
Bose/7.22.0,565763
AppleCoreMedia/1.0.0.19L452 (HomePod; U; CPU OS 15_4_1 like Mac OS X; en_gb),564166
Lavf/58.29.100,558837
"Mozilla/5.0 (X11; Fuchsia) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.186 Safari/537.36 CrKey/1.56.500000",550522
SimpleRadio/4.2.2 (Android; U; Dalvik),550352
AppleCoreMedia/1.0.0.19E258 (iPad; U; CPU OS 15_4_1 like Mac OS X; en_gb),542236
Heart/92 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X),538430
RadioX/1646916372 CFNetwork/1331.0.7 Darwin/21.4.0,519113
Podcasts/1575.2.2 CFNetwork/1240.0.4 Darwin/20.6.0,515900
Global Player/92 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X),499397
Radioplayer iOS app,447446
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS12) Nullsoft Winamp3 version 3.0 (compatible),437415
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS1) Nullsoft Winamp3 version 3.0 (compatible),424527
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS18) Nullsoft Winamp3 version 3.0 (compatible),379886
Pocket Casts,373617
Podcasts/1630.11 CFNetwork/1329 Darwin/21.3.0,372595
Lavf/58.76.100,344771
"SoundCloud/5.170.0 build 1234144; iPhone12,1/iOS/15.4.1",332508
GlobalPlayer/1646916372 CFNetwork/1331.0.7 Darwin/21.4.0,325153
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32",299884
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:100.0) Gecko/20100101 Firefox/100.0,297746
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS13) Nullsoft Winamp3 version 3.0 (compatible),291851
"Spotify/8.7.28 iOS/15.4.1 (iPhone12,1)",284133
Radioplayer Android app,277521
Capital/92 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X),270105
AppleCoreMedia/1.0.0.19D52 (iPhone; U; CPU OS 15_3_1 like Mac OS X; en_gb),269359
Smooth/92 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X),267188
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15",264961
"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1",263918
PodcastAddict/v5 (+https://podcastaddict.com/; Android podcast app),262888
Linux UPnP/1.0 Sonos/68.2-28040 (ZPS3) Nullsoft Winamp3 version 3.0 (compatible),247599
Classic FM/92 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X),244844
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36",230590
"SoundCloud/5.170.0 build 1234144; iPhone11,8/iOS/15.4.1",210959
